Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
04-7,,4,Never Registered,,https://app.ens.domains/name/04-7.eth/register,,,,,
04-8,,4,Never Registered,,https://app.ens.domains/name/04-8.eth/register,,,,,
04-9,,4,Never Registered,,https://app.ens.domains/name/04-9.eth/register,,,,,
05-0,,4,Never Registered,,https://app.ens.domains/name/05-0.eth/register,,,,,
05-1,0xd4e1a607d3ba4ac49f8517f8cfe011b5fb57b6f9,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/39151018565949440615349528505930031753362012444480588963016181107982057533845,2022-05-05 09:52:22,2022-05-05 09:52:22,2023-05-05 15:41:34,2023-08-03 15:41:34,2023-08-24 15:41:34
05-2,,4,Never Registered,,https://app.ens.domains/name/05-2.eth/register,,,,,
05-3,,4,Never Registered,,https://app.ens.domains/name/05-3.eth/register,,,,,
05-4,,4,Never Registered,,https://app.ens.domains/name/05-4.eth/register,,,,,
05-5,,4,Never Registered,,https://app.ens.domains/name/05-5.eth/register,,,,,
05-6,,4,Never Registered,,https://app.ens.domains/name/05-6.eth/register,,,,,
05-7,,4,Never Registered,,https://app.ens.domains/name/05-7.eth/register,,,,,
05-8,,4,Never Registered,,https://app.ens.domains/name/05-8.eth/register,,,,,
05-9,,4,Never Registered,,https://app.ens.domains/name/05-9.eth/register,,,,,
06-0,,4,Never Registered,,https://app.ens.domains/name/06-0.eth/register,,,,,
06-1,,4,Never Registered,,https://app.ens.domains/name/06-1.eth/register,,,,,
06-2,,4,Never Registered,,https://app.ens.domains/name/06-2.eth/register,,,,,
06-3,,4,Never Registered,,https://app.ens.domains/name/06-3.eth/register,,,,,
06-4,,4,Never Registered,,https://app.ens.domains/name/06-4.eth/register,,,,,
06-5,,4,Never Registered,,https://app.ens.domains/name/06-5.eth/register,,,,,
06-6,,4,Never Registered,,https://app.ens.domains/name/06-6.eth/register,,,,,
06-7,,4,Never Registered,,https://app.ens.domains/name/06-7.eth/register,,,,,
06-8,,4,Never Registered,,https://app.ens.domains/name/06-8.eth/register,,,,,
06-9,0xa1666cd8d2aca806cfd9f3ac043257042057c536,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/71587911504288025313048948327497341093396605137668881164978448782696254076275,2022-05-02 11:37:25,2022-05-02 11:37:25,2023-05-02 17:26:37,2023-07-31 17:26:37,2023-08-21 17:26:37
07-0,,4,Never Registered,,https://app.ens.domains/name/07-0.eth/register,,,,,
07-1,,4,Never Registered,,https://app.ens.domains/name/07-1.eth/register,,,,,
07-2,,4,Never Registered,,https://app.ens.domains/name/07-2.eth/register,,,,,
07-3,,4,Never Registered,,https://app.ens.domains/name/07-3.eth/register,,,,,
07-4,,4,Never Registered,,https://app.ens.domains/name/07-4.eth/register,,,,,
07-5,,4,Never Registered,,https://app.ens.domains/name/07-5.eth/register,,,,,
07-6,,4,Never Registered,,https://app.ens.domains/name/07-6.eth/register,,,,,
07-7,0xa1666cd8d2aca806cfd9f3ac043257042057c536,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/67982295255169983626560688212309046269371141051377050022974886094164532955329,2022-05-02 11:52:34,2022-05-02 11:52:34,2023-05-02 17:41:46,2023-07-31 17:41:46,2023-08-21 17:41:46
07-8,,4,Never Registered,,https://app.ens.domains/name/07-8.eth/register,,,,,
07-9,,4,Never Registered,,https://app.ens.domains/name/07-9.eth/register,,,,,
08-0,,4,Never Registered,,https://app.ens.domains/name/08-0.eth/register,,,,,
08-1,,4,Never Registered,,https://app.ens.domains/name/08-1.eth/register,,,,,
08-2,,4,Never Registered,,https://app.ens.domains/name/08-2.eth/register,,,,,
08-3,,4,Never Registered,,https://app.ens.domains/name/08-3.eth/register,,,,,
08-4,,4,Never Registered,,https://app.ens.domains/name/08-4.eth/register,,,,,
08-5,,4,Never Registered,,https://app.ens.domains/name/08-5.eth/register,,,,,
08-6,,4,Never Registered,,https://app.ens.domains/name/08-6.eth/register,,,,,
08-7,,4,Never Registered,,https://app.ens.domains/name/08-7.eth/register,,,,,
08-8,,4,Never Registered,,https://app.ens.domains/name/08-8.eth/register,,,,,
08-9,,4,Never Registered,,https://app.ens.domains/name/08-9.eth/register,,,,,
09-0,,4,Never Registered,,https://app.ens.domains/name/09-0.eth/register,,,,,
09-1,,4,Never Registered,,https://app.ens.domains/name/09-1.eth/register,,,,,
09-2,,4,Never Registered,,https://app.ens.domains/name/09-2.eth/register,,,,,
09-3,,4,Never Registered,,https://app.ens.domains/name/09-3.eth/register,,,,,
09-4,,4,Never Registered,,https://app.ens.domains/name/09-4.eth/register,,,,,
09-5,,4,Never Registered,,https://app.ens.domains/name/09-5.eth/register,,,,,
09-6,0x3a3b854bc642282a2a4adb7bfae49984c297578e,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/54111718146237188229346229892779053740806995338446916981558273755748236401614,2022-05-03 21:25:19,2022-05-03 21:25:19,2023-05-04 03:14:31,2023-08-02 03:14:31,2023-08-23 03:14:31
09-7,,4,Never Registered,,https://app.ens.domains/name/09-7.eth/register,,,,,
09-8,,4,Never Registered,,https://app.ens.domains/name/09-8.eth/register,,,,,
09-9,,4,Never Registered,,https://app.ens.domains/name/09-9.eth/register,,,,,
10-0,0x8217cc277a8edfda132a0123761e1d2aa795ecc6,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/45554482880297039141331341614874559174640034270208652235174162399841837568793,2022-04-30 01:04:51,2022-04-30 01:04:51,2023-04-30 06:54:03,2023-07-29 06:54:03,2023-08-19 06:54:03
10-1,0xb8be5256edcd6c9da1a0f74b615a2f9403382730,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/31356820942079821952941804573173584756284087547263748555025358703184994707585,2022-04-30 00:45:14,2022-04-30 00:45:14,2022-06-05 13:20:09,2022-09-03 13:20:09,2022-09-24 13:20:09
10-2,0x2a050072c686724e73daca2a0f7358b5199c16eb,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/944920820403290441147783821571828249430772168352302510686590962584767455669,2022-04-30 11:27:02,2022-04-30 11:27:02,2022-05-29 16:42:58,2022-08-27 16:42:58,2022-09-17 16:42:58
10-3,0xb558613a338546451b3f967d14082762af8b8dff,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/24045397407990538358899352052796032002069471502672083223505113410017331897905,2022-04-30 15:31:44,2022-04-30 15:31:44,2022-05-29 20:47:40,2022-08-27 20:47:40,2022-09-17 20:47:40
10-4,0x05258e865f382b33e3d45bcd0fef58458611bda9,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/36193895639954772470424877647028405675984519063523341073060202194389894766535,2021-09-07 21:29:54,2021-09-07 21:29:54,2023-09-08 09:08:18,2023-12-07 09:08:18,2023-12-28 09:08:18
10-5,0x2a050072c686724e73daca2a0f7358b5199c16eb,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/33948949192845488517916320804640732699728141444259291610387227830505509418440,2022-04-30 11:25:56,2022-04-30 11:25:56,2022-05-29 16:41:52,2022-08-27 16:41:52,2022-09-17 16:41:52
10-6,0x2a050072c686724e73daca2a0f7358b5199c16eb,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/76110992940283830651648194989404806973776144048726984196164213824969757609288,2022-04-30 11:28:45,2022-04-30 11:28:45,2022-05-29 16:44:41,2022-08-27 16:44:41,2022-09-17 16:44:41
10-7,0x2a050072c686724e73daca2a0f7358b5199c16eb,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/79572768740285666251377461936920415931582782366376172193755716544806970766658,2022-04-30 11:30:07,2022-04-30 11:30:07,2022-05-29 16:46:03,2022-08-27 16:46:03,2022-09-17 16:46:03
10-8,0x24e6d835f23b9716af984f6604625c6b074015cd,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/19200022688303499348044885143991807175325111584120820682467315090648467799151,2022-04-30 07:02:14,2022-04-30 07:02:14,2023-04-30 12:51:26,2023-07-29 12:51:26,2023-08-19 12:51:26
10-9,0x2a050072c686724e73daca2a0f7358b5199c16eb,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/12292141767105944389936196097345623161944990046346163204052396760574783062271,2022-04-30 11:23:51,2022-04-30 11:23:51,2022-05-29 16:39:47,2022-08-27 16:39:47,2022-09-17 16:39:47
11-0,0x1e93441fe945e7ab2cef198a2f51e0135e2ccf43,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/64740669089118514515903476198320963447618055939702660070133749999559945462725,2022-04-30 11:13:45,2022-04-30 11:13:45,2023-04-30 17:02:57,2023-07-29 17:02:57,2023-08-19 17:02:57
