Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
14x,0x53b6baee8ddb9f9624d279d0fa5ee85fa0ad1229,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/44834972887423860932142463649440768848076669854292964710240503204201356173875,2022-05-01 16:18:17,2022-05-01 16:18:17,2022-06-07 04:53:12,2022-09-05 04:53:12,2022-09-26 04:53:12
15x,0x85737b7667aa0b3df09d5120f6c5bfd3c3f8291d,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/5821397754947131267618113523620652377186430201458271818928366080932482777602,2022-04-27 07:03:46,2022-04-27 07:03:46,2022-05-26 12:19:42,2022-08-24 12:19:42,2022-09-14 12:19:42
16x,0xf5f7ded3ee675f456fdc25c7c6f15922bf57282b,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/47699679298175954502093690309124591031029564417179579142071718063492596630314,2022-05-01 20:30:27,2022-05-01 20:30:27,2023-05-02 02:19:39,2023-07-31 02:19:39,2023-08-21 02:19:39
17x,0x96edec5148d38b7f3cf127125d5e09ca65d79de9,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/97358711104939195893979057038794979535713861876001374561644666514016053947450,2022-05-02 12:48:34,2022-05-02 12:48:34,2022-06-08 01:23:29,2022-09-06 01:23:29,2022-09-27 01:23:29
18x,0x603056fd9c55406d55f5ec13c935d281eed50628,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/72168278434196424071124259318224508154623325759867860853247283330422780650306,2022-04-27 22:44:58,2022-04-27 22:44:58,2023-04-28 04:34:10,2023-07-27 04:34:10,2023-08-17 04:34:10
19x,0x47a710fa6bed241a8ef0080f10cad9a90bd670ca,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/95163810270764859513378620758936175504304917635338413374981122996593232294761,2022-05-02 16:08:25,2022-05-02 16:08:25,2022-06-08 04:43:20,2022-09-06 04:43:20,2022-09-27 04:43:20
20x,0xdfa1ceb425cf626a7e0c26c1dfabbcb7ffb3da5c,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/62669948670413969338446726616481161215379738210591673731894622402769718008333,2022-01-06 15:30:26,2022-01-06 15:30:26,2024-01-07 03:08:50,2024-04-06 03:08:50,2024-04-27 03:08:50
21x,0x290fbe4d4745f6b5267c209c92c8d81cebb5e9f0,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/86333428873888897825641051210708594356970136640860290937876109716556846545059,2021-02-17 02:24:49,2021-02-17 02:24:49,2026-02-17 07:30:49,2026-05-18 07:30:49,2026-06-08 07:30:49
22x,0x2687b8f2762d557fbc8cfbb5a73aee71fdd5c604,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/32812879838101397724799311816659662870009573646267735693599117519350433072653,2022-04-27 05:25:25,2022-04-27 05:25:25,2022-05-26 10:41:21,2022-08-24 10:41:21,2022-09-14 10:41:21
23x,0x25ba562c31aaca514319f615ed56fa587a9c7ea4,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/75153552942203975961226297692614724023949906883342467222929757445741148970135,2021-11-16 02:03:18,2021-11-16 02:03:18,2022-11-16 07:52:30,2023-02-14 07:52:30,2023-03-07 07:52:30
24x,0x96edec5148d38b7f3cf127125d5e09ca65d79de9,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/81356196392864519220656422483523930101367592820333597694749802317494186598498,2022-05-02 12:45:44,2022-05-02 12:45:44,2022-06-08 01:20:39,2022-09-06 01:20:39,2022-09-27 01:20:39
25x,0xd484d3f381e257b323f45fc4d813cd28df184625,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/29087269325349303348833580078343120625488451698137368587477256173509036000691,2022-04-29 01:42:51,2022-04-29 01:42:51,2022-07-11 02:52:41,2022-10-09 02:52:41,2022-10-30 02:52:41
26x,0x47a710fa6bed241a8ef0080f10cad9a90bd670ca,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/83181408427538663219631526712405745606392691383585663612654616980552020299742,2022-05-02 16:08:35,2022-05-02 16:08:35,2022-06-08 04:43:30,2022-09-06 04:43:30,2022-09-27 04:43:30
27x,0x47a710fa6bed241a8ef0080f10cad9a90bd670ca,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/99989403676649014438509040508728469950279384135127979605003174394037683832130,2022-05-02 16:08:35,2022-05-02 16:08:35,2022-06-08 04:43:30,2022-09-06 04:43:30,2022-09-27 04:43:30
28x,0x47a710fa6bed241a8ef0080f10cad9a90bd670ca,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/9008046747142341881875530120027313655819816976629400265973642995850122270416,2022-05-02 16:09:10,2022-05-02 16:09:10,2022-06-08 04:44:05,2022-09-06 04:44:05,2022-09-27 04:44:05
29x,0x47a710fa6bed241a8ef0080f10cad9a90bd670ca,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/87062533717628531816274734649832505079033400443768354666908973658524606173837,2022-05-02 16:09:48,2022-05-02 16:09:48,2022-06-08 04:44:43,2022-09-06 04:44:43,2022-09-27 04:44:43
30x,0xfd4de618bbe131654af19395bc2f1dbb7cb81e65,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/29174265402275128476366722687893149912130564568259786176829232828720776427071,2022-04-29 09:43:49,2022-04-29 09:43:49,2023-04-29 15:33:01,2023-07-28 15:33:01,2023-08-18 15:33:01
31x,0x47a710fa6bed241a8ef0080f10cad9a90bd670ca,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/31509924931366405012599128133686242114385300740432901174690736981770293199556,2022-05-02 16:09:48,2022-05-02 16:09:48,2022-06-08 04:44:43,2022-09-06 04:44:43,2022-09-27 04:44:43
32x,0xf9b7850ee758ca9878a052aeed04f24a50531ea1,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/3518037049013169024474498632325279568209176050645529776269356893220766126913,2021-08-25 00:45:00,2021-08-25 00:45:00,2023-08-25 12:23:24,2023-11-23 12:23:24,2023-12-14 12:23:24
33x,0x6eef09b526d883f98762a7005fabd2c800dfca44,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/58550499709829164953012845616821871448524118125108294711898311990617957470043,2022-04-27 04:03:49,2022-04-27 04:03:49,2022-05-26 09:19:45,2022-08-24 09:19:45,2022-09-14 09:19:45
34x,0x95cff92d71f55b69bdcb41fd33f3c6a323debccc,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/87450570474366672566020293913872838494191369016465880681262660545081451659751,2022-05-02 16:43:38,2022-05-02 16:43:38,2022-06-08 05:18:33,2022-09-06 05:18:33,2022-09-27 05:18:33
35x,0x95cff92d71f55b69bdcb41fd33f3c6a323debccc,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/38180937140291733840164990056631984761764531020891102724663539339814802168498,2022-05-01 09:21:56,2022-05-01 09:21:56,2022-06-06 21:56:51,2022-09-04 21:56:51,2022-09-25 21:56:51
36x,0xcac29d3938e3a8330e973e62cf0af6bcdb0b0009,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/52899144483813181132611141111605896693466055525824727547647426519415322955299,2022-05-02 18:06:27,2022-05-02 18:06:27,2022-06-08 06:41:22,2022-09-06 06:41:22,2022-09-27 06:41:22
37x,0xa3febef325da288cafba2b41f85321c031a6dccf,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/3733027915939251926170543450673314868104929537429867473251452894262175919145,2022-05-03 03:37:04,2022-05-03 03:37:04,2022-06-08 16:11:59,2022-09-06 16:11:59,2022-09-27 16:11:59
